RB010,RB020,RB030,RB050,RB050_F,RB070,RB070_F,RB080,RB080_F,RB090,RB090_F,RB200,RB200_F,RB210,RB210_F,RB220,RB220_F,RB230,RB230_F,RB240,RB240_F,RL010,RL010_F,RL020,RL020_F,RL030,RL030_F,RL040,RL040_F,RL050,RL050_F,RL060,RL060_F,RL070,RL070_F,vrLOWJOB,vrEU2020
2012,ES,6901,994.58732,1,4,1,1943,1,2,1,1,1,3,1, ,-2, ,-2,6902,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2012,ES,6902,994.58732,1,1,1,1943,1,1,1,1,1,3,1, ,-2, ,-2,6901,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2012,ES,7201,729.54018,1,9,1,1953,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2012,ES,7501,4870.80925,1,7,1,1974,1,1,1,1,1,1,1, ,-2, ,-2,7502,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,7502,4870.80925,1,5,1,1981,1,2,1,1,1,1,1, ,-2, ,-2,7501,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,8001,2276.01743,1,4,1,1929,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2012,ES,8901,475.95468,1,9,1,1957,1,1,1,1,1,2,1, ,-2, ,-2,8902,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,8902,475.95468,1,10,1,1962,1,2,1,1,1,2,1, ,-2, ,-2,8901,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,8903,475.95468,1,4,1,1994,1,1,1,1,1,2,1,8901,1,8902,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,9401,2154.13676,1,11,1,1961,1,1,1,1,1,1,1, ,-2, ,-2,9402,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,9402,2154.13676,1,4,1,1962,1,2,1,1,1,4,1, ,-2, ,-2,9401,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,9601,840.46924,1,12,1,1926,1,2,1,1,1,4,1, ,-2, ,-2,9602,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2012,ES,9602,840.46924,1,4,1,1926,1,1,1,1,1,3,1, ,-2, ,-2,9601,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2012,ES,9603,840.46924,1,9,1,1968,1,1,1,1,1,4,1,9602,1,9601,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2012,ES,10001,1180.65011,1,5,1,1932,1,1,1,1,1,3,1, ,-2, ,-2,10002,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2012,ES,10002,1180.65011,1,2,1,1933,1,2,1,1,1,4,1, ,-2, ,-2,10001,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2012,ES,10201,3689.98872,1,2,1,1962,1,2,1,1,1,4,1, ,-2, ,-2,10202,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,10202,3689.98872,1,7,1,1957,1,1,1,2,1,1,1, ,-2, ,-2,10201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,10203,3689.98872,1,6,1,1989,1,1,1,2,1,1,1,10202,1,10201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,11101,1522.50114,1,4,1,1952,1,1,1,1,1,4,1, ,-2, ,-2,11102,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1
2012,ES,11102,1522.50114,1,6,1,1955,1,2,1,1,1,1,1, ,-2, ,-2,11101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1
2012,ES,11401,1258.48554,1,5,1,1943,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2012,ES,11701,2794.23267,1,12,1,1949,1,1,1,1,1,3,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2012,ES,11801,639.14701,1,3,1,1967,1,1,1,1,1,2,1, ,-2, ,-2,11802,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2012,ES,11802,639.14701,1,6,1,1968,1,2,1,1,1,2,1, ,-2, ,-2,11801,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2012,ES,11803,639.14701,1,9,1,1997,1,2,1,2,1,4,1,11801,1,11802,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2012,ES,11804,639.14701,1,7,1,2002,1,1,1,2,1,4,1,11801,1,11802,1, ,-2, ,-2,45,1,0,1,0,1,0,1,14,1,656.04785,1,1,1
2012,ES,12501,1324.37831,1,3,1,1966,1,1,1,1,1,1,1, ,-2, ,-2,12502,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,12502,1324.37831,1,8,1,1969,1,2,1,1,1,1,1, ,-2, ,-2,12501,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,12503,1324.37831,1,4,1,1996,1,1,1,1,1,4,1,12501,1,12502,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,12504,1324.37831,1,7,1,2001,1,2,1,1,1,4,1,12501,1,12502,1, ,-2, ,-2,25,1,0,1,0,1,0,1,1,1,1287.25564,1,0,0
2012,ES,13101,4555.37782,1,8,1,1949,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2012,ES,13102,4555.37782,1,11,1,1990,1,2,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2012,ES,13103,4555.37782,1,2,1,1968,1,1,1,1,1,4,1, ,-2,13101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
