DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2012,ES,2,ES21,1,1845,1,1415.85135,1,1,1
2012,ES,11,ES41,1,1358,1,602.00853,1,1,1
2012,ES,14,ES41,1,1459,1,914.14345,1,3,1
2012,ES,17,ES52,1,510,1,2404.62373,1,2,1
2012,ES,23,ES11,1,1432,1,3392.88093,1,3,1
2012,ES,28,ES41,1,1468,1,1391.64550,1,1,1
2012,ES,30,ES42,1,27,1,524.79285,1,3,1
2012,ES,31,ES13,1,1572,1,180.15611,1,2,1
2012,ES,32,ES30,1,886,1,1202.63025,1,1,1
2012,ES,39,ES41,1,782,1,1527.66680,1,1,1
2012,ES,46,ES21,1,1823,1,1282.55240,1,1,1
2012,ES,48,ES42,1,626,1,456.51596,1,3,1
2012,ES,51,ES30,1,952,1,1650.10889,1,1,1
2012,ES,53,ES52,1,38,1,1000.34725,1,3,1
2012,ES,59,ES41,1,782,1,434.86893,1,1,1
2012,ES,62,ES41,1,1813,1,626.90401,1,1,1
2012,ES,68,ES13,1,1574,1,322.99293,1,2,1
2012,ES,69,ES21,1,1831,1,994.58732,1,1,1
2012,ES,72,ES62,1,1121,1,729.54018,1,2,1
2012,ES,75,ES52,1,1770,1,4870.80925,1,1,1
2012,ES,80,ES51,1,274,1,2276.01743,1,1,1
2012,ES,89,ES43,1,453,1,475.95468,1,3,1
2012,ES,94,ES61,1,1104,1,2154.13676,1,1,1
2012,ES,96,ES13,1,1560,1,840.46924,1,1,1
2012,ES,100,ES52,1,1781,1,1180.65011,1,1,1
2012,ES,102,ES51,1,401,1,3689.98872,1,1,1
2012,ES,111,ES42,1,532,1,1522.50114,1,3,1
2012,ES,114,ES61,1,1618,1,1258.48554,1,2,1
2012,ES,117,ES52,1,63,1,2794.23267,1,2,1
2012,ES,118,ES43,1,136,1,639.14701,1,3,1
2012,ES,125,ES41,1,434,1,1324.37831,1,3,1
