DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2008,ES,15772,ES70,1,1482,1,983.69446,1,2,1
2008,ES,15774,ES51,1,372,1,2761.37356,1,2,1
2008,ES,15776,ES53,1,192,1,618.73616,1,3,1
2008,ES,15784,ES21,1,1824,1,1706.42805,1,1,1
2008,ES,15785,ES23,1,816,1,69.71250,1,2,1
2008,ES,15787,ES43,1,147,1,1026.78477,1,3,1
2008,ES,15788,ES61,1,764,1,1752.60036,1,3,1
2008,ES,15789,ES11,1,1441,1,1134.57152,1,1,1
2008,ES,15795,ES43,1,447,1,921.35737,1,3,1
2008,ES,15818,ES21,1,14,1,896.81828,1,1,1
2008,ES,15819,ES61,1,549,1,4190.41529,1,2,1
2008,ES,15825,ES42,1,514,1,769.47614,1,3,1
2008,ES,15826,ES61,1,488,1,1503.23638,1,2,1
2008,ES,15829,ES21,1,1879,1,825.36195,1,1,1
2008,ES,15845,ES61,1,760,1,1795.52058,1,3,1
2008,ES,15847,ES11,1,1445,1,1321.06621,1,1,1
2008,ES,15848,ES30,1,1052,1,1020.97294,1,1,1
2008,ES,15850,ES51,1,1653,1,922.16561,1,2,1
2008,ES,15851,ES41,1,1805,1,845.55689,1,1,1
2008,ES,15858,ES61,1,487,1,2187.79318,1,2,1
2008,ES,15859,ES61,1,547,1,1201.19707,1,2,1
2008,ES,15861,ES23,1,824,1,178.74419,1,3,1
2008,ES,15863,ES51,1,255,1,2896.54263,1,1,1
2008,ES,15864,ES11,1,610,1,1399.73256,1,2,1
2008,ES,15865,ES61,1,556,1,5332.97669,1,3,1
2008,ES,15873,ES53,1,225,1,729.48375,1,1,1
2008,ES,15875,ES61,1,1080,1,3368.76398,1,1,1
2008,ES,15876,ES61,1,1609,1,1236.99523,1,1,1
2008,ES,15881,ES61,1,463,1,2180.99658,1,1,1
2008,ES,15882,ES12,1,1344,1,766.00996,1,3,1
2008,ES,15884,ES70,1,1381,1,980.80613,1,1,1
2008,ES,15893,ES21,1,700,1,634.81630,1,3,1
2008,ES,15895,ES30,1,905,1,1310.19971,1,2,1
2008,ES,15907,ES62,1,1130,1,937.32911,1,2,1
2008,ES,15914,ES63,1,1980,1,116.50174,1,1,1
2008,ES,15920,ES11,1,600,1,1587.79123,1,2,1
2008,ES,15921,ES41,1,1465,1,555.67269,1,1,1
2008,ES,15925,ES51,1,352,1,1743.64055,1,2,1
2008,ES,15926,ES41,1,1817,1,977.25880,1,1,1
2008,ES,15930,ES30,1,1031,1,2116.76251,1,1,1
2008,ES,15932,ES53,1,210,1,1035.02234,1,1,1
2008,ES,15933,ES53,1,197,1,567.31351,1,2,1
2008,ES,15934,ES42,1,535,1,1254.74793,1,3,1
2008,ES,15935,ES41,1,780,1,997.54528,1,3,1
2008,ES,15944,ES61,1,1099,1,1958.43589,1,1,1
2008,ES,15946,ES42,1,1685,1,922.21065,1,3,1
2008,ES,15947,ES22,1,1230,1,272.79443,1,1,1
2008,ES,15948,ES41,1,776,1,847.66572,1,1,1
2008,ES,15950,ES64,1,1990,1,88.95970,1,1,1
2008,ES,15952,ES21,1,1840,1,1764.23273,1,1,1
2008,ES,15958,ES24,1,1960,1,365.17330,1,1,1
