RB010,RB020,RB030,RB050,RB050_F,RB070,RB070_F,RB080,RB080_F,RB090,RB090_F,RB200,RB200_F,RB210,RB210_F,RB220,RB220_F,RB230,RB230_F,RB240,RB240_F,RL010,RL010_F,RL020,RL020_F,RL030,RL030_F,RL040,RL040_F,RL050,RL050_F,RL060,RL060_F,RL070,RL070_F,vrLOWJOB,vrEU2020
2008,ES,101,2872.83949,1,4,1,1963,1,2,1,1,1,1,1, ,-2, ,-2,102,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2008,ES,102,2872.83949,1,1,1,1960,1,1,1,1,1,1,1, ,-2, ,-2,101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2008,ES,201,1152.62149,1,1,1,1926,1,2,1,1,1,3,1, ,-2, ,-2,203,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2008,ES,202,1152.62149,1,7,1,1960,1,1,1,2,1,1,1,203,1,201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2008,ES,203,1152.62149,1,2,1,1922,1,1,1,1,1,3,1, ,-2, ,-2,201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2008,ES,1001,2584.44520,1,9,1,1956,1,1,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2008,ES,1101,130.44294,1,9,1,1956,1,2,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2008,ES,1102,130.44294,1,12,1,1981,1,2,1,1,1,1,1, ,-2,1101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2008,ES,1103,130.44294,1,12,1,1987,1,2,1,1,1,4,1, ,-2,1101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2008,ES,1104,130.44294,1,12,1,1987,1,2,1,1,1,4,1, ,-2,1101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2008,ES,1401,484.49634,1,10,1,1922,1,2,1,2,1,3,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
